Date,ca,fr,ge,it,jp,uk,us
2005/4/29,0.813201,-0.008469,-0.207225,0.250453,1.005292,0.249537,1.183629
2005/5/2,0.693374,0.132440,0.302138,0.233220,-0.084637,-0.886206,0.463207
2005/5/3,-0.571753,0.801345,0.855292,0.551365,-0.014242,1.082542,-0.070475
2005/5/4,1.678530,1.292585,0.998629,0.597613,0.826044,0.939489,1.248538
2005/5/5,0.269714,0.699890,0.541961,0.319673,-0.153328,0.568069,-0.244530
2005/5/6,0.610736,-0.382702,-0.470438,-0.775949,1.459047,-0.321018,-0.109739
2005/5/9,0.870265,-0.472673,-0.496342,-0.360028,-0.862478,-0.677951,0.635358
2005/5/10,-0.622365,-0.066392,-0.418865,-0.536555,-0.177418,-0.346252,-1.037888
2005/5/11,-1.522645,-0.989368,-0.610809,-0.182411,-0.468274,-0.840806,0.394181
2005/5/12,-1.356533,0.073177,-0.356294,-0.154769,-1.263917,-0.148919,-0.977704
2005/5/13,-1.656359,-0.486764,-0.411518,-0.517353,-0.896966,-0.553542,-0.442879
2005/5/16,-0.049438,-0.331225,-0.498573,-0.375456,-0.933486,-1.171725,0.997334
2005/5/17,0.643315,-0.061206,-0.208585,-0.815454,-0.804705,0.562793,0.702100
2005/5/18,0.850068,1.669944,1.717127,1.529208,-0.283413,0.735039,0.993694
2005/5/19,0.602060,0.203964,0.435284,0.103460,1.639087,0.422010,0.481175
2005/5/20,-0.320933,-0.341104,-0.550884,-0.413226,-0.626333,-0.433787,-0.135903
2005/5/23,0.551579,0.825999,1.227781,0.219386,1.207912,0.621854,0.385366
2005/5/24,0.450635,-0.398286,-0.238993,-0.161716,0.091497,-0.158929,0.011830
2005/5/25,-0.579520,0.074425,-0.066985,0.114820,-1.127629,-0.072292,-0.359342
2005/5/26,0.531018,0.357361,0.456011,-0.007120,-0.405558,-0.021278,0.641419
2005/5/27,0.910117,0.046383,0.353652,-0.074372,0.892697,-0.097251,0.099195
2005/5/30,1.023556,-0.455675,0.218974,-0.001886,0.878930,0.024628,0.000000
2005/5/31,-0.975884,-1.280405,-1.422597,-1.534315,0.174889,-0.500594,-0.634628
2005/6/1,1.263687,0.682363,0.722579,0.418593,-0.043531,0.556314,0.895487
